省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均
河北省,衡水市武强县孙庄乡张法台村,衡水武强县孙庄乡张法台村,13110037,2013/10/30 18:10,2014/1/20 0:00,中国银行,363,2623264,7226.62259
河北省,衡水市武强县孙庄乡西王庄,衡水武强县孙庄乡西王庄村,13110038,2013/10/31 9:04,2014/1/28 0:00,中国银行,753,1055551,1401.794157
河北省,石家庄市鹿泉市李村镇北许营,鹿泉区李村镇北许营村,13010001,2013/11/1 8:39,2013/5/1 0:00,中国银行,429,36873286,85951.71562
河北省,衡水市阜城县古城镇柳树高,阜城县古城镇柳树高村,13110044,2013/11/1 0:00,,中国银行,81,1543946,19061.06173
河北省,衡水市阜城县阜城镇八里屯,衡水阜城八里屯,13110054,2013/11/1 0:00,,中国银行,783,8032882,10259.10856
河北省,衡水市枣强县枣强镇枣强县枣强镇范庄村,枣强县枣强镇范庄村,13110057,2013/11/4 0:00,,中国银行,2,229167,114583.5
河北省,衡水市枣强县肖张镇肖张镇后河村,肖张镇后河村,13110064,2013/11/4 14:37,2013/12/8 0:00,中国银行,176,220993,1255.642045
河北省,衡水市枣强县马屯镇马屯镇史屯村,马屯镇史屯村,13110329,2015/1/8 14:16,,中国银行,161,1502346,9331.341615
河北省,衡水市饶阳县留楚乡西段村,饶阳县留楚乡西段村,13110073,2013/11/5 8:47,2013/10/24 0:00,中国银行,1227,4360187,3553.534637
河北省,衡水市饶阳县大官亭乡段庄村,饶阳县官亭镇段庄村,13110075,2013/11/5 14:13,2013/10/25 0:00,中国银行,259,3739591,14438.57529
河北省,衡水市饶阳县大官亭乡西岐河,饶阳县官亭镇西岐河村,13110076,2013/11/5 15:20,2013/11/24 0:00,中国银行,226,1638427,7249.676991
河北省,衡水市冀州市码头李镇东羡,码头李镇东羡村,13110077,2013/11/6 10:41,,中国银行,261,394547,1511.67433
河北省,衡水市饶阳县大官亭乡李岗村,饶阳县官亭镇李岗村,13110080,2013/11/6 14:22,,中国银行,612,2469450,4035.04902
河北省,衡水市饶阳县大尹村镇大尹村,饶阳县大尹村镇大尹村,13110081,2013/11/6 16:36,2013/9/28 0:00,中国银行,1729,10027228,5799.437825
河北省,衡水市枣强县肖张镇肖张镇程杨村,肖张镇程杨村,13110085,2013/11/7 14:01,2014/3/26 0:00,中国银行,658,6203861,9428.360182
河北省,衡水市景县北留智镇第三排村,景县北留智镇第三前排村,13110086,2013/11/9 8:36,2014/5/31 0:00,中国银行,179,1800701,10059.78212
河北省,衡水市景县北留智镇常东,景县北留智常庄科东村,13110087,2013/11/9 0:00,,中国银行,471,6074054,12896.08068
河北省,衡水市冀州市码头李镇烟家雾村,码头李镇烟家雾村,13110088,2013/11/11 10:26,,中国银行,348,2037131,5853.824713
河北省,衡水市冀州市徐家庄乡徐庄乡庄子头村,徐庄乡庄子头村,13110089,2013/11/11 10:52,2014/3/16 0:00,中国银行,356,9447825,26538.83427
河北省,衡水市桃城区郑家河沿镇南沼,桃城区河沿镇南沼村,13110090,2013/11/12 8:50,,中国银行,662,18751113,28324.94411
河北省,衡水市深州市唐奉镇黄疃,唐奉镇黄疃村,13110095,2013/11/20 11:43,,中国银行,211,1367559,6481.322275
河北省,衡水市深州市护驾迟镇西王庄,护迟镇西王庄,13110098,2013/11/20 14:46,,中国银行,133,1640992,12338.28571
河北省,衡水市深州市唐奉镇大疃新村,唐奉镇大疃新村,13110099,2013/11/20 14:50,,中国银行,667,3864205,5793.410795
河北省,衡水市深州市大冯营乡中李,大冯营乡中李村,13110103,2013/11/21 9:16,2014/3/30 0:00,中国银行,400,3195482,7988.705
河北省,衡水市阜城县漫河乡许家铺村,衡水阜城县漫河乡许家铺村,13110108,2013/12/5 0:00,,中国银行,395,2427937,6146.675949
河北省,衡水市深州市深州镇礼门寺,深州镇礼门寺村,13110111,2013/12/5 16:55,2013/7/10 0:00,中国银行,176,2452495,13934.63068
河北省,衡水市深州市唐奉镇里边营,唐奉镇里边营,13110112,2013/12/5 17:02,,中国银行,197,2033146,10320.53807
河北省,衡水市深州市东安庄乡东安庄乡西阳台村,衡水深州西阳台,13110114,2013/12/9 16:07,,中国银行,248,1406132,5669.887097
河北省,衡水市深州市穆村乡庄火头,穆村乡庄火头村,13110115,2013/12/9 16:35,,中国银行,467,8843591,18937.0257
河北省,衡水市武强县北代乡张北召什,衡水武强县北代乡张北召什村,13110116,2013/12/9 17:15,2014/1/20 0:00,中国银行,366,3109936,8497.092896
河北省,沧州市盐山县千童镇南街,盐山县千童镇南街村,13090001,2013/12/17 9:01,2013/12/5 0:00,中国银行,560,2737725,4888.794643
河北省,衡水市枣强县唐林乡唐林治江农资,唐林治江农资,13110117,2013/12/17 11:31,2014/3/28 0:00,中国银行,99,35502,358.606061
河北省,衡水市桃城区邓家庄乡大葛村,衡水桃城区大葛村,13110118,2013/12/20 0:00,,中国银行,157,2795218,17803.93631
河北省,衡水市武邑县韩庄镇大赵村,韩庄镇大赵村,13110119,2013/12/20 14:05,,中国银行,308,681131,2211.464286
河北省,衡水市武邑县肖桥头镇青塚村,桥头镇青塚村,13110120,2013/12/25 15:56,,中国银行,153,328392,2146.352941
河北省,衡水市冀州市冀州镇黄沙村,冀州镇黄沙村,13110123,2013/12/26 10:59,,中国银行,672,3317511,4936.772321
河北省,张家口市蔚县宋家庄镇上苏庄,蔚县宋家庄镇上苏庄村,13070001,2013/12/26 11:53,,中国银行,368,813138,2209.61413
河北省,张家口市蔚县代王城镇张中堡,蔚县代王城镇张中堡村,13070002,2013/12/26 13:52,,中国银行,644,4712713,7317.877329
河北省,沧州市盐山县圣佛镇西圣佛,盐山县圣佛镇西圣佛村,13090002,2013/12/26 16:08,2013/11/28 0:00,中国银行,2139,10818204,5057.598878
河北省,沧州市泊头市王武庄乡王武村,泊头市王武镇王武村,13090004,2013/12/27 13:48,2013/12/26 0:00,中国银行,539,6024686,11177.52505
河北省,沧州市东光县于桥乡桐梨村,任丘市北汉乡前桐梨村,13090007,2013/12/27 14:18,2013/12/27 0:00,中国银行,146,600102,4110.287671
河北省,沧州市任邱市苟各庄镇郑召村,任丘市苟各庄镇郑召村,13090008,2013/12/27 14:38,2013/12/20 0:00,中国银行,167,2609560,15626.10778
河北省,沧州市沧县旧州镇东庞河村,沧县旧州镇东庞河村,13090009,2013/12/27 14:58,2013/12/13 0:00,中国银行,244,1537459,6301.061475
河北省,沧州市河间市瀛州镇林豆万村,河间市瀛州镇林豆万村,13090010,2013/12/27 15:21,2014/1/17 0:00,中国银行,340,1117063,3285.479412
河北省,张家口市蔚县北水泉镇北马圈村,蔚县北水泉镇北马圈村,13070003,2013/12/31 11:34,,中国银行,572,263762,461.122378
河北省,邯郸市永年县西苏乡永年方头固村,永年县西苏乡方头固村,13040005,2014/1/1 22:01,2014/1/9 0:00,中国银行,259,2530175,9769.015444
河北省,邯郸市永年县西苏乡双陵村,永年县西苏乡双陵村,13040006,2014/1/1 22:02,2014/1/9 0:00,中国银行,1027,7459282,7263.176241
河北省,沧州市孟村回族自治县牛进庄乡塔上村,孟村县牛进庄乡塔上村,13090013,2014/1/1 22:44,2013/12/18 0:00,中国银行,293,3747487,12790.05802
河北省,沧州市孟村回族自治县宋庄子乡东宋村,孟村县宋庄子乡东宋村,13090014,2014/1/1 23:08,2013/12/19 0:00,中国银行,467,3181047,6811.663812
河北省,沧州市南皮县南皮镇西街,南皮县寨子镇西街村,13090015,2014/1/1 23:16,2013/12/23 0:00,中国银行,1111,12882005,11594.964
安徽省,滁州市明光市张八岭镇老三界,明光市三界镇三界村福乐家便利店,34110001,2014/1/2 10:47,,建设银行,328,1449148.8,4418.136585
河北省,沧州市孟村回族自治县宋庄子乡张院村,孟村县宋庄子乡张院村,13090016,2014/1/2 11:14,2013/12/26 0:00,中国银行,154,1073493,6970.733766
河北省,沧州市盐山县小营乡小庄村,盐山县小庄乡南徐小庄村,13090017,2014/1/2 13:19,2013/12/11 0:00,中国银行,482,2238137,4643.437759
河北省,沧州市青县农场虚拟乡农场三分场,青县国营农场第三分场,13090018,2014/1/2 13:51,2013/12/2 0:00,中国银行,2389,13417958,5616.558393
河北省,沧州市青县清州镇罗家店,青县清州镇罗家店村,13090019,2014/1/2 15:04,2014/1/22 0:00,中国银行,2529,10000300,3954.250692
河北省,沧州市青县上伍乡欧辛庄,青县欧辛庄村,13090022,2014/1/4 0:00,,中国银行,2583,3718336,1439.541618
河北省,沧州市青县上伍乡清河庄村,青县上伍乡清和庄村,13090023,2014/1/4 0:00,,中国银行,3396,1654191,487.099823
河北省,沧州市青县金牛镇觉道庄村,青县金牛镇觉道庄村,13090024,2014/1/4 0:00,,中国银行,2318,1528086,659.226057
河北省,沧州市青县木门店镇崇仙村,青县崇仙,13090025,2014/1/4 0:28,2014/1/30 0:00,中国银行,2784,2918295,1048.238147
河北省,沧州市献县河城街镇小屯村,献县河城街镇小屯村,13090026,2014/1/4 10:02,2014/1/24 0:00,中国银行,693,4848330,6996.147186
河北省,沧州市黄骅市常郭乡李子札村,黄骅市常郭镇李子札村,13090027,2014/1/4 10:03,2013/12/30 0:00,中国银行,1189,25434363,21391.39024
河北省,沧州市黄骅市港城开发区新村乡冯家堡村,沧州市渤海新区冯家堡村,13090028,2014/1/4 10:04,2014/1/4 0:00,中国银行,647,22643143,34997.12983
河北省,沧州市青县清州镇耿官屯,青县清州镇耿官屯村,13090029,2014/1/4 0:00,,中国银行,4886,28370736,5806.536226
河北省,邯郸市武安市石洞乡青烟寺村,武安市石洞乡青烟寺村,13040007,2014/1/6 0:09,2014/1/10 0:00,中国银行,75,3470802,46277.36
河北省,邯郸市峰峰矿区临水镇西泉头村,峰峰矿区临水镇西泉头,13040008,2014/1/6 8:48,2014/1/19 0:00,中国银行,1780,31254030,17558.44382
河北省,邯郸市成安县商城镇秦连庄村,成安县商城镇秦连庄,13040009,2014/1/6 8:49,2014/1/10 0:00,中国银行,251,645250,2570.717131
河北省,衡水市桃城区彭杜村乡刘家南田村,桃城区彭杜乡刘家南田村,13110124,2014/1/7 14:31,,中国银行,393,9894456,25176.73282
河北省,沧州市海兴县辛集镇辛集村,海兴县辛集镇辛集村,13090030,2014/1/8 10:50,2014/1/8 0:00,中国银行,697,10349559,14848.72166
