,省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均,开业时间2,签约时间2,存款数2
5713,山东省,烟台市栖霞市蛇窝泊镇唐中村,栖霞市蛇窝泊镇唐中村,3706861020020,2016-05-26 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,82,0.0
5714,山东省,烟台市栖霞市松山街道下紫现头村,栖霞市松山街道下紫现头村一站,3706860030017,2016-05-26 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,82,0.0
5715,山东省,烟台市莱阳市古柳街道居然之家,莱阳市古柳街道古柳树村,3706861020021,2016-05-26 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,82,0.0
5716,山东省,威海市环翠区孙家疃镇外窑村,环翠区孙家疃镇外窑村,3710021040001,2016-05-27 00:00:00,,中国银行,1,4001890.04,4001890.04,-9223372036854775808,81,400.189004
5717,山东省,威海市环翠区皇冠街道办事处皇冠,环翠区皇冠街道办事处皇冠,3710020080001,2016-05-27 00:00:00,,中国银行,0,4000000.0,\N,-9223372036854775808,81,400.0
5718,河北省,石家庄市鹿泉市上庄镇小李庄村,鹿泉市上庄镇小李庄村平安,1301851030015,2016-07-08 00:00:00,,平安银行,0,0.0,\N,-9223372036854775808,39,0.0
5719,河南省,南阳市邓州市南阳市黄牛良种繁育场虚拟村,南阳邓州市西城区张湾村,4113814000002,2016-05-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,81,0.0
5720,山东省,威海市荣成市斥山街道办事处斥山社区,荣成市斥山街道办事处斥山村,3710820060020,2016-05-27 00:00:00,,中国银行,1,918736.41,918736.41,-9223372036854775808,81,91.873641
5721,江苏省,盐城市阜宁县三灶镇丰墩村,阜宁县三灶镇丰墩村,3209231060001,2016-05-27 00:00:00,,建设银行,0,0.0,\N,-9223372036854775808,81,0.0
5722,四川省,达州市达川区梓桐乡洞沟村,达川区梓桐乡洞沟村,5117212370001,2016-05-25 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,83,0.0
5723,河北省,石家庄市高邑县万城乡王同庄村,高邑县万城乡王同庄村助农,1301272020017,2016-05-27 00:00:00,,张家口银行,0,0.0,\N,-9223372036854775808,81,0.0
5724,四川省,达州市渠县渠北乡跃进村,渠县渠北乡跃进村,5117252070001,2016-05-28 00:00:00,,中国银行,1,100.02,100.02,-9223372036854775808,80,0.010002
5725,四川省,达州市渠县李馥乡红寺村,渠县李馥乡红寺村,5117252070002,2016-05-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,81,0.0
5726,四川省,达州市达川区堡子镇高坪社区居,达川区堡子镇高坪社区居,5117211180001,2016-05-27 00:00:00,,中国银行,3,200.7,66.9,-9223372036854775808,81,0.02007
5727,陕西省,咸阳市兴平市店张街道办事处小南村,兴平市店张街道办事处小南村,6104810030001,2016-05-27 00:00:00,,长安银行,0,0.0,\N,-9223372036854775808,81,0.0
5728,河北省,沧州市吴桥县梁集镇北彭村,吴桥县梁集镇北彭,1309281030014,2016-05-28 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,80,0.0
5729,四川省,德阳市旌阳区天元镇东河村,旌阳区天元镇东河村,5106031050002,2016-05-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,81,0.0
5730,四川省,德阳市旌阳区天元镇歇月村,旌阳区天元镇歇月村,5106031050003,2016-05-26 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,82,0.0
5731,四川省,广元市剑阁县汉阳镇中心村,剑阁县汉阳镇中心村,5108231210004,2016-05-27 00:00:00,,中国银行,6,6839.42,1139.903333,-9223372036854775808,81,0.683942
5732,山东省,临沂市平邑县临涧镇双兴胜利村,平邑县临涧镇双兴胜利村,3713261120001,2016-05-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,81,0.0
5733,山东省,临沂市平邑县临涧镇下峪村,平邑县临涧镇下峪村,3713261120002,2016-05-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,81,0.0
5734,山东省,临沂市平邑县临涧镇大麦滩村,平邑县临涧镇大麦滩村,3713261120003,2016-05-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,81,0.0
5735,山东省,烟台市莱阳市龙旺庄街道食品工业园,莱阳市龙旺庄街道食品工业园,3706820030003,2016-05-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,81,0.0
5736,山东省,烟台市莱阳市冯格庄街道姚格庄村,莱阳市冯格庄街道姚格庄村,3706820040002,2016-05-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,81,0.0
5737,江苏省,盐城市阜宁县三灶镇九灶村,阜宁县三灶镇九灶村,3209231060002,2016-05-28 00:00:00,,建设银行,0,0.0,\N,-9223372036854775808,80,0.0
5738,河北省,沧州市东光县于桥乡陈家桥村,东光县于桥乡陈桥村,1309232010018,2016-05-28 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,80,0.0
5739,山东省,威海市荣成市崖头街道办事处康平社区,荣成市崖头街道办事处康平社区,3710820070006,2014-04-05 00:00:00,,中国银行,0,6100000.0,\N,-9223372036854775808,864,610.0
5740,山东省,威海市荣成市城西街道办事处鸭湾村,荣成市城西街道办事处鸭湾村,3710820080003,2014-08-03 00:00:00,,中国银行,0,7007216.33,\N,-9223372036854775808,744,700.721633
5741,山东省,滨州市滨城区梁才街道办事处东石村,滨城区梁才街道办事处东石村,3716020090001,2016-05-28 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,80,0.0
5742,河北省,唐山市乐亭县汤家河镇后坨村,乐亭县汤家河镇后坨村,1302251010006,2016-05-12 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,96,0.0
5743,山东省,德州市德城区天衢街道办事处闸子村,德城区天衢街道办事处闸子村,3714020030002,2016-05-26 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,82,0.0
5744,山东省,德州市德城区运河街道办事处南陈庄村,德城区运河街道办事处南陈庄村,3714020050012,2016-05-28 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,80,0.0
5745,河北省,沧州市青县金牛镇小牛庄村,青县金牛镇小牛庄村银行业务,1309221010016,2016-05-29 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,79,0.0
5746,河北省,沧州市青县陈嘴乡陈嘴村,青县陈嘴乡陈嘴村,1309222030063,2016-05-29 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,79,0.0
5747,山东省,烟台市福山区张格庄镇台上村,福山区张格庄镇台上村一站,3706111030013,2016-05-28 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,80,0.0
5748,河南省,安阳市滑县大寨乡丁家村,滑县大寨乡丁家村,4105262040001,2016-05-25 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,83,0.0
5749,山东省,潍坊市寿光市稻田镇杨家营村,寿光市稻田镇杨家营村,3707831120005,2016-05-28 00:00:00,,工商银行,0,0.0,\N,-9223372036854775808,80,0.0
5750,四川省,达州市通川区双龙镇平桥社区居,通川区双龙镇平桥村,5117021050001,2016-05-30 00:00:00,,中国银行,1,69.31,69.31,-9223372036854775808,78,0.006931
5751,山东省,潍坊市临朐县东城街道办事处弥南村,临朐县东城街道办事处弥南村,3707240020012,2016-05-30 00:00:00,,工商银行,0,0.0,\N,-9223372036854775808,78,0.0
5752,湖南省,常德市澧县大堰东街,澧县大堰东街,4307231070001,2016-05-26 00:00:00,,长沙银行,0,0.0,\N,-9223372036854775808,82,0.0
5753,陕西省,汉中市汉台区武乡镇街道,汉台区武乡镇街道,6107021010001,2016-05-30 00:00:00,,长安银行,0,0.0,\N,-9223372036854775808,78,0.0
5754,山东省,烟台市莱山区莱山镇董家庄村,莱山区莱山镇董家庄村一站,3706131020020,2016-05-30 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,78,0.0
